客户简称,消耗排名,清洗后商品名,消耗(万元),下单单价(元),合并原始条数,合并的原始DPA名称
广州微洋生物科技有限公司,5,ZEESEA滋色定格柔焦定妆膏七夕礼物小蓝盒青春版粉饼散粉夏季补妆升级版,0.58,100.42,1,[进阶版-更控油]ZEESEA滋色定格柔焦定妆膏七夕礼物小蓝盒青春版粉饼散粉夏季补妆升级版
广州唯新信息科技有限公司,1,志刚家玫瑰颂玫瑰精油纯露补水保湿抗皱爽肤水300ml,4.18,224.75,3,【纯露直播福利】志刚家玫瑰颂玫瑰精油纯露补水保湿抗皱爽肤水300ml || 【纯露直播专属福利】 志刚家玫瑰颂 玫瑰精油纯露 补水保湿抗皱嫩肤爽肤水300ml || 【纯露直播专属福利】 志刚家玫瑰颂 玫瑰精油纯露补水保湿抗皱嫩肤爽肤水300ml
瑰宝蜜语,1,Gracebabi立体精雕双头修容笔持久提亮哑光阴影极细珠光侧影轮廓,0.76,19.97,1,Gracebabi立体精雕双头修容笔持久提亮哑光阴影极细珠光侧影轮廓
海洋之萃(深圳)商贸有限公司,1,蜂蜜姜汁护足霜脚后跟干裂修护霜保湿滋润不油腻女男士代购,1.8,23.61,1,【胖东来&许昌】蜂蜜姜汁护足霜脚后跟干裂修护霜保湿滋润不油腻女男士代购
海洋之萃(深圳)商贸有限公司,2,活性锰甲醛分解片强力除甲醛新房入住去异味汽车衣柜净化神器代购,1.62,49.47,1,[胖东來&商超热卖]活性锰甲醛分解片强力除甲醛新房入住去异味汽车衣柜净化神器代购
海洋之萃(深圳)商贸有限公司,3,聚维酮碘漱口水碘伏杀菌除味清新口气留香口腔专用代购,1.33,33.6,1,[胖东來力荐]聚维酮碘漱口水碘伏杀菌除味清新口气留香口腔专用代购
海洋之萃(深圳)商贸有限公司,4,宠物沐浴露猫狗洗澡柔顺护毛蓬松留香温和清洁,0.58,30.67,1,[宠物店专用]宠物沐浴露猫狗洗澡柔顺护毛蓬松留香温和清洁官方正品
韩束,1,韩束黄金胶原面膜 黄金抗氧CP+双金膜 多肽紧致淡纹 水润透亮 聪明女人选对不选贵,43.92,40.6,1,【把营养灌进肌底】韩束黄金胶原面膜 黄金抗氧CP+双金膜 多肽紧致淡纹 水润透亮 聪明女人选对不选贵-zg
韩束,2,韩束377亮白棒 去黄提亮不反黑 素颜好状态 日常淡斑 素颜出门,19.55,102.97,3,【热卖1800w支+】韩束377亮白棒 去黄提亮不反黑 素颜好状态 日常淡斑 素颜出门-zb || 【商城专属】韩束377亮白棒 去黄提亮不反黑 素颜好状态 日常淡斑 素颜出门-zg || 【商城专属】韩束377亮白棒 去黄提亮不反黑 素颜好状态 日常淡斑 素颜出门
韩束,3,韩束男士控油精华露 长效控油不反光 拒绝油腻感 男人就该干净精神,18.54,98.81,2,【控油醒肤】韩束男士控油精华露 长效控油不反光 拒绝油腻感 男人就该干净精神-zb || 【商城专属】韩束男士控油精华露 长效控油不反光 拒绝油腻感 男人就该干净精神
韩束,4,韩束红蛮腰水乳霜护肤套装 抗皱修护 紧致提亮 水润维稳 送礼送老婆,16.1,196.36,2,【热卖1800w+】韩束红蛮腰水乳霜护肤套装 抗皱修护 紧致提亮 水润维稳 送礼送老婆zb || 【商城专属】韩束红蛮腰水乳霜护肤套装 抗皱修护 紧致提亮 水润维稳 送礼送老婆-zg
韩束,5,韩束淡纹水光面膜 专利胶原肽 抗皱紧致 提亮肤色 改善暗沉,14.59,43.23,2,【商城专属】韩束淡纹水光面膜 专利胶原肽 抗皱紧致 提亮肤色 改善暗沉-zg || 【院线同源 拍1发10】韩束淡纹水光面膜 专利胶原肽 抗皱紧致 提亮肤色 改善暗沉zb
韩束,6,韩束闪充棒 促胶原抗皱 紧致下颌线 熬夜急救 懒人护肤,8.91,100.34,1,【水油同补 即刻充盈】韩束闪充棒 促胶原抗皱 紧致下颌线 熬夜急救 懒人护肤-zb
韩束,7,水光胶原面膜 补水保湿 淡纹紧致,6.53,43.2,1,【韩束官方正品 拍1到手10支】水光胶原面膜 补水保湿 淡纹紧致-sc
韩束,8,韩束美白身体精华乳 烟酰胺美白 紧致弹嫩 养出冷白皮 夏日穿搭 全身无差色,4.56,120.47,2,【14天*有效美白】韩束美白身体精华乳 烟酰胺美白 紧致弹嫩 养出冷白皮 夏日穿搭 全身无差色-zb || 【买一送一 7天白1度】韩束美白身体精华乳 烟酰胺美白 紧致弹嫩 养出冷白皮 夏日穿搭 全身无差色-zb
韩束,9,韩束PDRN三文鱼次抛精华 深层修护肌肤 淡化纹路 紧致轮廓,4.46,163.22,2,【商城专属】韩束PDRN三文鱼次抛精华 深层修护肌肤 淡化纹路 紧致轮廓-zg || 【限时加赠高效美容仪】韩束PDRN三文鱼次抛精华 深层修护肌肤 紧致轮廓 淡化纹路
韩束,10,韩束男士 控油祛痘 收缩毛孔 去黑头洁面 火山泥洗面奶,4.31,60.13,1,【控油祛痘 加赠起泡网】韩束男士 控油祛痘 收缩毛孔 去黑头洁面 火山泥洗面奶
杭州炫枫科技有限公司,1,Liar水光多肽胶原蛋白面膜3.0PDRN提拉紧致水光肌,5.15,314.62,1,[官方正品]Liar水光多肽胶原蛋白面膜3.0PDRN提拉紧致水光肌
好运莲莲,1,古雾紫邂逅女士从容自信花果香清新花香持久留香淡香水,0.56,20.05,1,古雾紫邂逅女士从容自信花果香清新花香持久留香淡香水301
乎刻,1,HUKO乎刻美白身体乳220g提亮清爽乳抗皱补水保湿不油腻留香,15.69,125.14,1,[官方自营]HUKO乎刻美白身体乳220g提亮清爽乳抗皱补水保湿不油腻留香
乎刻,2,HUKO乎刻果酸酶嫩肤双泵沐浴露香氛补水保湿滋养清洗温和祛背痘,6.98,99.52,1,[官方自营]HUKO乎刻果酸酶嫩肤双泵沐浴露香氛补水保湿滋养清洗温和祛背痘
乎刻,3,乎刻玻色因护手精华抗皱美白护手霜淡纹紧致礼物,0.98,112.85,1,[温峥嵘徐璐同款]乎刻玻色因护手精华抗皱美白护手霜淡纹紧致礼物
乎刻,4,乎刻美白身体乳220g紧致抗皱烟酰胺全身男女通用,0.58,144.99,1,[官方自营]乎刻美白身体乳220g紧致抗皱烟酰胺全身男女通用
