客户简称,消耗排名,清洗后商品名,消耗(万元),下单单价(元),合并原始条数,合并的原始DPA名称
花西子,1,花西子好气色防晒粉饼/定匀补防/SPF50+/PA+++/出游旅行/干用/四效合一,103.91,198.43,3,【七夕臻礼】花西子好气色防晒粉饼/定匀补防/SPF50+/PA+++/出游旅行/干用/四效合一 || 【隐毛孔 好细腻】花西子好气色防晒粉饼SPF50+/PA+++/四效合一/出游通勤 || 【隐毛孔 好细腻】花西子好气色防晒粉饼新升级/定匀补防/SPF50+/PA+++/出游旅行/四合一
花西子,2,花西子好气色气垫1+2/60倍高浓灵芝入妆/持妆贴肤/24h贴妆/可选肤质,77.94,257.43,1,【七夕限定臻礼】花西子好气色气垫1+2/60倍高浓灵芝入妆/持妆贴肤/24h贴妆/可选肤质
花西子,3,花西子新升级好气色气垫1+2/60倍高浓灵芝入妆/干皮混干/润贴不卡粉,18.33,248.8,1,【奢养级气垫】花西子新升级好气色气垫1+2/60倍高浓灵芝入妆/干皮混干/润贴不卡粉
花西子,4,花西子第二代小黛伞防晒隔离素颜霜//提亮妆前/淡纹养肤,10.37,196.27,3,【修黄提亮防晒黑】花西子第二代小黛伞防晒隔离素颜霜//提亮妆前/淡纹养肤 || 【七夕限定新色】花西子第二代小黛伞防晒隔离素颜霜/隐毛孔/提亮妆前/淡纹养肤/七效合一 || 【七效合一】花西子第二代小黛伞防晒隔离素颜霜/隐毛孔/提亮妆前/淡纹养肤
花西子,5,花西子防晒气垫1+1/spf50+/防晒12H/修护光损/24H持妆/敏肌可用,2.92,243.8,1,【七夕臻礼】花西子防晒气垫1+1/spf50+/防晒12H/修护光损/24H持妆/敏肌可用
花西子,6,花西子玉容气垫1+1养肤/匀肤强遮瑕/12H无瑕妆/新手/不脱妆敏肌适用,2.47,136.27,1,【小粉盒气垫】花西子玉容气垫1+1养肤/匀肤强遮瑕/12H无瑕妆/新手/不脱妆敏肌适用
花西子,7,花西子雕花口红精华玉光版好涂不拔干/淡唇纹显白/素颜提气色/送妈妈送女友送闺蜜,1.26,136.17,1,【显白百搭】花西子雕花口红精华玉光版好涂不拔干/淡唇纹显白/素颜提气色/送妈妈送女友送闺蜜
花西子,8,花西子好气色防晒散粉/SPF50+/PA+++/定妆修色补妆防晒/24h控油隐毛孔,1.18,255.17,1,【七夕臻礼】花西子好气色防晒散粉/SPF50+/PA+++/定妆修色补妆防晒/24h控油隐毛孔
黄芪,1,黄芪抗皱眼膜淡化干纹细纹,61.43,60.17,4,【拍一发五，黄金眼膜180片下单赠送小熊化妆箱七夕限时加赠神秘礼品】黄芪抗皱眼膜淡化干纹细纹 || 【拍一发五，三盒黄金眼膜180片下单赠送小熊化妆箱七夕限时加赠神秘礼品】黄芪抗皱眼膜淡化干纹细纹 || 【拍一发五，黄金眼膜180片下单赠送小熊化妆箱七夕限时加赠神秘礼品】黄芪抗皱眼膜淡化干纹细纹，改善熬夜暗沉眼周 || 【拍一发五，黄金眼膜180片下单赠送小熊化妆箱加神秘礼品】七夕专属加码福利-黄芪抗皱眼膜淡化干纹细纹，改善熬夜暗沉眼周
黄芪,2,黄芪抗皱淡纹眼膜,34.04,60.15,2,【拍一发三，黄金眼膜*3 180贴  加上送一个小熊化妆箱】黄芪抗皱淡纹眼膜 || 【拍一发三，黄金眼膜*3 180贴 加上送一个小熊化妆箱】黄芪抗皱淡纹眼膜
娇莱雅,1,Y 焕亮美白祛斑霜 +光蕴透白精华水 乳暗黄提亮肤色,6.78,91.2,3,Y 【开学好礼甜蜜美白套盒】焕亮美白祛斑霜 +光蕴透白精华水 乳暗黄提亮肤色【灰灰推荐】 || Y 【七夕礼物甜蜜美白套盒】焕亮美白祛斑霜 +光蕴透白精华水 乳暗黄提亮肤色【灰灰推荐】 || Y 【七夕甜蜜美白套盒】焕亮美白祛斑霜 +光蕴透白精华水 乳暗黄提亮肤色【灰灰推荐】
娇莱雅,2,Y 倾莱雅焕亮美白祛斑霜暗黄提亮肤色,1.81,104.55,2,Y【白白霜】倾莱雅焕亮美白祛斑霜暗黄提亮肤色【灰灰推荐】 || Y【七夕礼物】【白白霜】倾莱雅焕亮美白祛斑霜暗黄提亮肤色【灰灰推荐】
娇莱雅,3,Yd1倾莱雅灰总推荐！美白防晒霜/PA+++ 灰灰推荐SPF值50+,0.95,123.76,1,【七夕礼物】【美白防晒霜】Yd1倾莱雅灰总推荐！美白防晒霜/PA+++ 灰灰推荐SPF值50+
酵色,1,酵色粉雾口红笔哑光雾面秋冬口红不易沾杯裸色温柔显白,13.04,87.79,2,[品牌官方]酵色粉雾口红笔哑光雾面秋冬口红不易沾杯裸色温柔显白db || [品牌官方]酵色粉雾口红笔哑光雾面秋冬口红不易沾杯裸色温柔显白DB
酵色,2,酵色粉雾口红笔哑光时髦新色不易沾杯雾面气质高级,5.66,108.76,1,【重磅上新】酵色粉雾口红笔哑光时髦新色不易沾杯雾面气质高级
酵色,3,酵色多用霜C21C24口红唇釉唇泥腮红眼影美妆必备唇膏,1.72,98.53,1,【人气爆款】酵色多用霜C21C24口红唇釉唇泥腮红眼影美妆必备唇膏
酵色,4,酵色全新多用霜口红唇釉绒雾不易沾杯通勤早八粉彩风,1.17,106.49,1,【明星同款】酵色全新多用霜口红唇釉绒雾不易沾杯通勤早八粉彩风
京润美妆,1,京润珍珠 珍珠美白祛斑霜,1.7,96.72,1,京润珍珠【总裁特批】珍珠美白祛斑霜【第六代】【新品】
京润美妆,2,京润珍珠 时光焕妍肌底液抗皱精华液 修护保湿抗皱紧致舒缓,1.44,96.1,1,[官方店]京润珍珠 时光焕妍肌底液抗皱精华液 修护保湿抗皱紧致舒缓
